Date,Open,High,Low,Close,Volume,Currency
2020-12-22,1724.95,1732.35,1706.86,1720.22,1018829,USD
2020-12-21,1709.03,1737.0,1695.06,1734.56,1698707,USD
2020-12-18,1746.17,1748.36,1715.0,1726.22,4262837,USD
2020-12-17,1763.84,1765.98,1731.4,1740.51,1744005,USD
2020-12-16,1769.11,1769.11,1749.06,1757.19,1210431,USD
2020-12-15,1764.0,1764.0,1742.27,1761.08,1068292,USD
2020-12-14,1772.12,1789.49,1749.61,1752.26,1652471,USD
2020-12-11,1760.0,1777.31,1752.74,1774.8,931431,USD
2020-12-10,1760.97,1774.31,1734.39,1767.65,1434416,USD
2020-12-09,1810.41,1828.0,1762.72,1777.86,1586426,USD
2020-12-08,1806.76,1815.04,1792.0,1811.33,996768,USD
2020-12-07,1815.97,1829.29,1803.5,1817.03,1114391,USD
2020-12-04,1820.22,1829.5,1813.59,1823.76,1027242,USD
2020-12-03,1822.05,1843.13,1818.53,1821.84,1236366,USD
2020-12-02,1795.23,1832.46,1786.41,1824.97,1471235,USD
2020-12-01,1766.66,1821.72,1763.03,1795.36,1861965,USD
2020-11-30,1774.99,1780.0,1748.0,1754.4,1620887,USD
2020-11-27,1764.54,1797.01,1764.54,1787.02,739507,USD
2020-11-25,1767.81,1770.38,1748.36,1764.13,979957,USD
2020-11-24,1726.95,1765.86,1720.88,1763.9,1400306,USD
2020-11-23,1743.2,1743.2,1710.61,1727.56,1127618,USD
